,seed,actions
19,3592570019,"[0, 0, 0, 2, 2, 0, 3, 1, 0, 2, 1, 1, 1, 1, 3, 3, 3, 0, 1, 3, 0, 0, 0, 0, 2, 0, 2, 1, 2, 1, 2, 1, 1, 1, 3, 3, 0, 3, 0, 3, 0, 0, 2, 2, 1, 2, 0, 3, 3, 1, 3, 1, 1, 1, 2, 2, 0, 0, 1, 1, 3, 3, 0, 0, 0, 2, 1, 3, 0, 0, 2, 2, 1, 2, 0, 3, 1, 3, 3, 1, 1, 1, 2, 0, 1, 3, 0, 0, 0, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 3, 3, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 0, 2, 1, 2, 1, 3, 1, 3, 1, 1, 2, 0, 0, 3, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 3, 0, 3, 1, 2, 0, 3, 1, 3, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 3, 3, 3, 1, 2]"
20,3592570020,"[0, 2, 1, 0, 3, 1, 1, 1, 2, 0, 0, 2, 0, 3]"
21,3592570021,"[0, 0, 2, 0, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 1, 3, 1, 1, 2, 0, 3, 0, 0, 0, 2, 1, 2, 2, 0, 3, 2, 1, 3, 3, 3, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 3, 1, 2, 2, 2, 0, 3, 3]"
22,3592570022,"[0, 3, 2, 1, 3, 0, 3, 2, 1, 3]"
23,3592570023,"[1, 2, 0, 2, 2, 1, 2, 1, 3, 1, 1, 3, 0, 3, 0, 1, 0, 3, 0, 0, 2, 2, 1, 0, 2, 1, 2, 1, 3, 1, 1, 3, 0, 3, 0, 3, 0, 2, 1, 2]"
24,3592570024,"[1, 0, 3, 3, 1, 3, 3, 1, 3, 0, 0, 2, 3, 1, 2, 1, 2, 0, 2, 0, 2, 2, 1, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 3, 3, 0, 2, 1, 3, 1, 3, 3, 0, 0, 2, 3, 1, 2, 0, 2, 3, 3, 1, 2, 1, 2, 0]"
25,3592570025,"[1, 2, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 1, 1, 3, 0, 0, 0, 0]"
26,3592570026,"[0, 2, 3, 1, 2, 0, 2, 3, 1, 2, 0, 2, 2]"
27,3592570027,"[1, 0, 3, 1, 2, 1, 2, 0, 0, 3, 1, 3, 3, 1, 2, 1, 2, 3, 0, 3, 0, 2, 0, 2, 2, 1, 1, 3, 2, 0, 0, 3, 1, 3, 1]"
28,3592570028,"[3, 1, 3, 2, 0, 0, 3, 1, 0, 1, 2, 1, 1, 0, 1, 3, 1, 1, 2, 2, 0, 0, 0, 0, 3, 3, 1, 2, 1, 1, 3, 2, 0, 0, 3, 1, 1]"
29,3592570029,"[2, 3, 1, 1, 1]"
30,3592570030,"[0, 3, 1, 0, 2, 1, 1, 3, 1, 0, 0, 3, 0, 2, 1, 2, 1, 3, 1, 3, 0, 2, 0, 0, 3, 0, 2, 1, 1, 2, 1, 3, 3, 0, 0]"
31,3592570031,"[2, 0, 1, 3, 0, 0, 0, 0]"
32,3592570032,"[0, 1, 3, 0, 0, 0, 2, 1, 1, 3, 1, 2, 2, 2]"
33,3592570033,"[2, 0, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 1, 1]"
34,3592570034,"[2, 0, 0, 0, 2, 1, 2, 2, 1, 3, 1, 2, 1, 0, 3, 0, 2, 0, 3, 3, 3, 1, 1, 2, 3, 0, 0, 0, 2, 1, 2, 2, 1, 1, 1, 2, 0]"
35,3592570035,"[2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 3, 3, 2, 1, 3, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2, 2]"
36,3592570036,"[1, 3, 1, 3, 3, 0, 3, 1, 1, 2, 0, 2, 2, 0, 3, 2, 1, 3, 3, 3, 0, 0, 2, 1, 0, 1, 3, 1, 2]"
37,3592570037,"[2, 1, 0, 3, 1, 2, 1, 0, 3, 1, 1, 1, 2, 0, 3, 0, 2]"
38,3592570038,"[2, 3, 0, 0, 2, 1, 2, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 3, 3, 1, 2, 1, 2, 1, 1, 3, 0, 3, 2, 2, 0, 0, 2, 2, 0, 3, 1, 3, 3, 0, 3, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 2, 1, 0, 3, 3, 1, 1, 2, 0, 1, 1, 3, 0, 0, 2, 2, 0, 3]"
39,3592570039,"[0, 1, 3, 3, 0, 0, 0, 2, 1, 2, 0, 0, 3, 3, 3, 3, 1, 3, 1, 1, 2, 0, 3, 2, 2, 2, 1, 1, 2, 0, 1, 2, 0, 3, 3, 0, 0, 2, 0, 3, 3, 3, 3, 1, 2, 1, 0, 3, 1, 1, 2, 2, 0, 2, 1, 2, 1, 2, 0, 0, 3, 1, 1, 2, 0, 0, 0, 3, 3, 0, 3, 3, 1, 2, 3, 1, 3, 1, 2, 2, 0, 0, 0, 2, 2, 1, 1, 3, 1, 2, 1, 2, 0, 0, 0, 3, 3, 2, 1, 1, 1, 2, 0, 0, 0, 0, 3, 3, 1, 1, 1, 3, 3, 0, 2, 3, 0, 3, 1, 1, 2, 2, 2, 0]"
40,3592570040,[]
41,3592570041,"[3, 2, 3, 0, 3, 0, 0, 2, 1, 1, 3, 3, 1, 1, 2, 0, 2]"
42,3592570042,"[2, 1, 1, 1, 3, 0]"
43,3592570043,"[0, 0, 3, 2, 1, 1, 3, 0, 2, 0, 0, 1, 1, 3, 0]"
44,3592570044,"[2, 2, 2, 1, 2, 2, 0, 1, 3, 3, 0, 0, 2, 1, 3, 1, 2, 1, 0, 0, 2, 1]"
45,3592570045,"[3, 1, 3, 3, 0, 0, 2, 3, 1, 1, 2, 2, 0, 3]"
46,3592570046,"[2, 3, 2, 1, 2, 2, 1, 1, 2, 0, 0, 0, 0, 3, 1, 0, 1, 2, 1, 1, 1, 3, 0, 3, 0, 3, 0, 2, 1, 1, 1, 2, 0, 2, 0, 3, 1, 1, 2, 0, 0, 0, 0, 3, 1, 3, 1, 0, 2, 1, 3, 2, 0, 0, 2, 1, 1, 1, 1, 3, 3, 0, 1, 2, 0, 1, 0, 3, 3, 0, 0, 2, 2, 1, 0, 1, 2, 1, 1, 3, 3, 0, 3, 0, 2, 1, 1, 2, 2, 0, 3, 1, 0, 2, 0, 3, 1, 1, 2, 0, 0, 3, 0, 3, 3, 1, 1, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 0, 2, 1, 1, 1, 1, 3, 0, 1, 0, 2, 0, 0, 3, 3, 1, 3, 1, 2, 1, 2, 2, 0, 0, 3, 0, 1, 2, 1, 3, 1, 0, 2, 0, 3, 0, 3, 3, 1, 2, 0, 2, 0, 2, 1, 1, 1, 3, 3]"
47,3592570047,"[1, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 2, 3, 0, 3, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 2, 2, 1, 2, 3, 3, 0, 3, 3, 1, 2]"
48,3592570048,"[0, 1, 3, 3, 0, 3, 0, 2, 0, 0, 0, 2, 1, 3, 1, 1, 3, 1, 2, 1, 2, 2, 0, 3, 0, 3, 0, 0, 2, 1, 3, 1, 1, 3, 0, 2, 1, 2, 1, 3, 2, 3, 0, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 2, 2, 0, 3, 0, 1, 1, 3, 0]"
49,3592570049,"[1, 3, 0, 0, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 1, 3, 1, 3, 3, 0, 3, 3, 0, 0, 2, 2, 2, 1, 2, 1, 3, 2, 1, 3, 0, 0, 2, 0, 3, 3, 3, 1, 2, 0, 1, 3, 1, 2, 3, 3, 0, 0, 2, 1, 2, 0, 2, 2, 1, 3, 2, 1, 1, 3, 3, 0, 3, 0, 2, 0, 2, 2, 1, 1, 3, 2, 0, 3, 2, 1, 1, 3, 0, 0, 0, 3, 3, 3, 1, 2, 1, 2, 3, 3, 0, 0, 2, 2, 2, 1, 3, 0, 2, 1, 2, 1, 1, 3, 0, 2, 1, 3, 0, 3, 0, 3]"
50,3592570050,"[1, 0, 3, 3, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 2, 2, 1, 3, 3, 3, 3, 0, 2, 1, 3, 0, 3, 1, 0, 1, 2, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 3, 1, 0, 0, 2, 2, 1, 3, 0, 3, 1, 1, 1]"
51,3592570051,"[3, 0, 0, 0, 1, 0, 2, 0, 0, 3, 3, 1, 3, 1, 2, 0, 1, 3, 0, 0, 2, 2, 2, 1, 3, 0, 1, 2, 1, 3, 1, 0, 0, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 0, 0, 3, 3, 1, 1, 2, 3, 0, 0, 2, 2, 1, 3, 2, 1, 3, 3, 0, 2, 2, 1, 1, 1]"
52,3592570052,"[1, 2, 3, 2, 0, 2, 2, 1, 1, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 0, 3, 3, 1, 2, 0, 2, 2, 1, 1, 3, 0, 1, 0, 2, 1, 1, 1, 3, 0, 1, 0, 2, 0, 0, 0, 3]"
53,3592570053,"[2, 3, 0, 0, 0, 2, 1, 2, 1, 3, 1, 3, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 2, 1, 1, 3]"
54,3592570054,"[0, 1, 3, 3, 0, 2, 1, 2, 2, 0, 0, 3, 2, 1, 3, 0, 2, 1, 1, 3, 3, 3, 0, 0, 2, 3, 1, 1, 2, 2, 0, 3, 1, 3, 0]"
55,3592570055,"[3, 0, 3, 3, 1, 3, 0, 1, 2, 0, 2, 2, 1, 3, 0, 3, 3, 0, 3, 2, 1, 2, 2, 1, 3, 2, 0, 3, 3, 0, 0]"
56,3592570056,"[2, 1, 3, 1, 2, 3, 3, 0, 2, 1, 2, 2]"
57,3592570057,"[3, 0, 0, 3, 0, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 0, 3, 1, 3, 1, 2, 2, 2]"
58,3592570058,"[3, 1, 2, 0, 3, 1, 3, 0, 3, 1, 1, 2, 1, 2, 1, 2, 1, 3, 3, 0, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 3, 3, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 0, 3, 0, 1, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 3, 1, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 0, 3, 0, 2, 1, 2, 1, 2, 0, 0, 0, 0, 3, 3, 1, 0, 2, 0, 3, 3, 1, 3, 1, 2, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 3, 3, 1, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 3, 1, 1, 0, 3, 0, 2, 2, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 3, 0, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 1, 1, 0, 1, 2, 1, 1, 3, 3, 0, 0, 2, 0, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 3, 0, 2, 1, 2, 0, 0, 0, 0, 3, 0, 3, 1, 3, 1, 1, 0, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 1, 3, 3, 0, 3, 1]"
